Odds,Win pos,Times
"(3, 5, 16, 29, 10, 9)",0,1
"(18, 21, 10, 15, 'EVENS\n', 5)",,1
"(3, 4, 10, 26, 7, 24)",,1
"(9, 2, 24, 16, 15, 'EVENS\n')",,1
"(25, 7, 2, 13, 'EVENS\n', 28)",,1
"(4, 22, 7, 9, 13, 5)",0,1
"(14, 30, 14, 'EVENS\n', 4, 24)",,1
"(2, 5, 25, 28, 12, 14)",,1
"(19, 9, 9, 21, 'EVENS\n', 5)",,1
"(5, 22, 23, 7, 3, 12)",,1
"(4, 4, 10, 20, 9, 21)",0,1
"(12, 6, 30, 'EVENS\n', 5, 23)",,1
"(17, 13, 5, 6, 4, 16)",,1
"(2, 27, 'EVENS\n', 14, 22, 10)",,1
"(2, 5, 7, 28, 20, 10)",,1
"(14, 3, 7, 16, 'EVENS\n', 26)",,1
"(18, 14, 3, 23, 12, 3)",,1
"(22, 9, 23, 5, 2, 7)",,1
"('EVENS\n', 23, 5, 7, 7, 29)",,1
"(8, 13, 2, 30, 4, 23)",,1
"('EVENS\n', 29, 5, 19, 12, 6)",,1
"(14, 15, 2, 16, 4, 30)",,1
"(14, 29, 22, 6, 'EVENS\n', 5)",,1
"(9, 26, 9, 2, 7, 5)",,1
"(2, 10, 12, 24, 4, 29)",,1
"(14, 22, 24, 2, 15, 'EVENS\n')",,1
"(25, 3, 6, 'EVENS\n', 7, 30)",,1
"(13, 16, 5, 23, 7, 2)",,1
"(13, 18, 5, 26, 10, 'EVENS\n')",,1
"(2, 2, 27, 26, 15, 8)",,1
"(7, 5, 21, 19, 'EVENS\n', 10)",,1
"(12, 4, 3, 13, 25, 21)",1,1
"(4, 4, 13, 7, 16, 21)",0,1
"(7, 5, 20, 7, 15, 2)",,1
"(27, 9, 2, 'EVENS\n', 12, 30)",,1
"(12, 14, 2, 30, 4, 21)",,1
"(3, 26, 10, 2, 24, 15)",,1
"(6, 6, 30, 24, 2, 4)",5,1
"(8, 24, 2, 29, 3, 9)",,1
"(12, 22, 4, 26, 7, 'EVENS\n')",,1
"(5, 12, 2, 27, 30, 13)",,1
"(6, 4, 26, 12, 28, 3)",,1
"(5, 21, 15, 24, 8, 3)",,1
"(14, 9, 20, 3, 26, 'EVENS\n')",,1
"(14, 8, 24, 3, 2, 20)",,1
"(21, 8, 5, 13, 3, 25)",,1
"(27, 3, 'EVENS\n', 13, 16, 12)",,1
"(4, 26, 8, 9, 3, 30)",,1
"(26, 10, 22, 4, 3, 12)",,1
"(3, 18, 10, 5, 18, 6)",,1
"(4, 14, 16, 7, 'EVENS\n', 26)",,1
"(26, 28, 4, 12, 8, 4)",,1
"(28, 'EVENS\n', 29, 2, 8, 9)",,1
"(3, 'EVENS\n', 29, 9, 26, 9)",,1
"(10, 4, 26, 15, 2, 21)",1,1
"(5, 29, 15, 21, 6, 2)",,1
"(3, 8, 12, 24, 22, 4)",,1
"(15, 'EVENS\n', 16, 14, 26, 'EVENS\n')",,1
"(12, 20, 4, 7, 3, 22)",2,1
"(2, 23, 14, 25, 9, 'EVENS\n')",,1
"(8, 25, 30, 10, 5, 3)",,1
"(12, 'EVENS\n', 26, 2, 10, 27)",,1
"(2, 7, 26, 30, 'EVENS\n', 6)",,1
